Latitude,Longitude,Bridge_Condition
33.89745,-114.499453,Poor
33.854031,-114.485178,Poor
33.766822,-114.500347,Poor
33.766856,-114.484833,Poor
33.737175,-114.486358,Poor
32.729819,-114.615583,Poor
33.712989,-110.211606,Poor
33.735964,-110.162733,Poor
33.521967,-111.856711,Poor
33.097344,-111.710717,Poor
33.104167,-111.840586,Poor
33.159322,-110.408178,Poor
33.190972,-110.269361,Poor
33.178314,-110.214344,Poor
33.179261,-110.205242,Poor
33.177258,-110.176033,Poor
33.175278,-110.528889,Poor
33.174861,-110.526694,Poor
32.610722,-111.891417,Poor
31.908367,-111.776183,Poor
36.840186,-109.482594,Poor
36.596575,-109.150778,Poor
36.092417,-111.295472,Poor
36.684386,-110.399831,Poor
35.234114,-111.13825,Poor
35.946983,-110.112133,Poor
35.771781,-109.096578,Poor
35.752267,-109.424053,Poor
35.270967,-109.129925,Poor
35.744306,-109.861861,Poor
33.295639,-112.164917,Poor
33.8242,-113.5335,Poor
33.309717,-111.067811,Poor
33.2982,-111.0895,Poor
32.9229,-112.8787,Poor
36.091447,-111.393883,Poor
31.9054,-110.2467,Poor
32.7421,-110.6482,Poor
35.338053,-109.068439,Poor
36.8937,-113.9206,Poor
32.2536,-109.8544,Poor
32.257,-109.1948,Poor
36.9705,-113.7301,Poor
34.9392,-110.1292,Poor
36.9254,-113.8322,Poor
36.9256,-113.8324,Poor
33.0699,-109.3424,Poor
32.7282,-114.6172,Poor
34.531,-112.1154,Poor
34.9916,-109.9503,Poor
33.703825,-109.453103,Poor
32.483544,-110.706403,Poor
34.394294,-111.630056,Poor
35.3733,-112.1629,Poor
32.136,-109.9124,Poor
32.691917,-114.159506,Poor
35.2708,-109.2774,Poor
35.264,-112.0389,Poor
31.7414,-109.4638,Poor
32.8506,-109.7855,Poor
33.020372,-109.249572,Poor
31.6604,-110.5253,Poor
32.373522,-112.866031,Poor
32.4663,-111.3389,Poor
32.471,-111.3042,Poor
31.787906,-110.884431,Poor
31.782092,-110.886931,Poor
32.8505,-111.5139,Poor
33.0572,-109.2999,Poor
33.390117,-110.780956,Poor
34.7468,-112.0252,Poor
34.928378,-112.816072,Poor
34.1862,-109.3034,Poor
31.5246,-110.7077,Poor
32.207,-110.9444,Poor
31.4093,-109.8792,Poor
34.895194,-112.205417,Poor
33.582672,-111.968914,Poor
32.4533,-111.2802,Poor
31.4297,-109.8924,Poor
33.3937,-110.787,Poor
31.4095,-109.8792,Poor
32.8422,-109.571,Poor
31.4483,-109.9286,Poor
33.5777,-111.8271,Poor
31.548839,-110.3693,Poor
31.544361,-110.3381,Poor
31.567189,-110.3958,Poor
35.301711,-93.857047,Poor
35.291953,-93.738042,Poor
35.510281,-94.071011,Poor
35.501433,-94.033439,Poor
36.109875,-93.134561,Poor
35.442747,-92.097467,Poor
35.103311,-94.367486,Poor
35.958658,-89.910094,Poor
35.468328,-90.181847,Poor
35.045992,-91.943569,Poor
33.878642,-93.304139,Poor
35.036589,-90.711608,Poor
34.369222,-92.761797,Poor
34.070967,-93.096147,Poor
34.826717,-93.798439,Poor
34.790442,-91.450739,Poor
34.792194,-91.440183,Poor
35.542942,-90.501222,Poor
35.669917,-93.829617,Poor
36.013556,-91.491122,Poor
33.207192,-92.66205,Poor
35.431625,-94.356475,Poor
34.676636,-91.555192,Poor
34.705964,-91.555814,Poor
34.708244,-91.555017,Poor
35.499694,-91.396139,Poor
35.506633,-91.392319,Poor
35.523978,-91.381442,Poor
36.051403,-93.518386,Poor
35.8144,-93.653444,Poor
34.953781,-90.337811,Poor
34.962033,-90.337825,Poor
34.554769,-90.757114,Poor
36.205711,-91.172336,Poor
36.270844,-94.516625,Poor
36.348656,-94.448944,Poor
34.763836,-92.261908,Poor
35.690911,-91.562267,Poor
35.367503,-91.503953,Poor
36.24515,-91.084714,Poor
34.096131,-94.084431,Poor
34.936061,-91.240369,Poor
36.118961,-92.142325,Poor
34.764806,-92.267472,Poor
35.865408,-90.177261,Poor
35.840172,-90.177617,Poor
35.724486,-90.177492,Poor
34.460172,-94.393342,Poor
34.118189,-92.131919,Poor
33.814958,-92.4107,Poor
35.604839,-92.417728,Poor
33.792531,-92.333417,Poor
34.365511,-92.81495,Poor
33.099603,-91.253214,Poor
33.236975,-91.253133,Poor
35.193208,-94.414347,Poor
34.984747,-93.310442,Poor
34.984575,-93.331447,Poor
34.982264,-93.345111,Poor
34.978917,-93.3508,Poor
35.109717,-94.267361,Poor
34.593217,-94.307061,Poor
35.449222,-94.315742,Poor
36.146922,-92.071081,Poor
33.304111,-91.419853,Poor
33.310128,-91.365719,Poor
33.314547,-91.334239,Poor
34.6112,-91.413628,Poor
34.754808,-91.076619,Poor
